Season,Lg,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1978-79,NBA,Moses Malone (V),23,HOU,82,41.3,24.8,17.6,1.8,1,1.5,0.54,,0.739,14.1,0.2
1977-78,NBA,Bill Walton (V),25,POR,58,33.3,18.9,13.2,5,1,2.5,0.522,,0.72,8.4,0.209
1976-77,NBA,Kareem Abdul-Jabbar (V),29,LAL,82,36.8,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,17.8,0.283
1975-76,NBA,Kareem Abdul-Jabbar (V),28,LAL,82,41.2,27.7,16.9,5,1.5,4.1,0.529,,0.703,17,0.242
1974-75,NBA,Bob McAdoo (V),23,BUF,82,43.2,34.5,14.1,2.2,1.1,2.1,0.512,,0.805,17.8,0.242
1973-74,NBA,Kareem Abdul-Jabbar (V),26,MIL,81,43.8,27,14.5,4.8,1.4,3.5,0.539,,0.702,18.4,0.25
1972-73,NBA,Dave Cowens (V),24,BOS,82,41.8,20.5,16.2,4.1,,,0.452,,0.779,12,0.168
1971-72,NBA,Kareem Abdul-Jabbar (V),24,MIL,81,44.2,34.8,16.6,4.6,,,0.574,,0.689,25.4,0.34
1970-71,NBA,Kareem Abdul-Jabbar (V),23,MIL,82,40.1,31.7,16,3.3,,,0.577,,0.69,22.3,0.326
1969-70,NBA,Willis Reed (V),27,NYK,81,38.1,21.7,13.9,2,,,0.507,,0.756,14.6,0.227
1968-69,NBA,Wes Unseld (V),22,BAL,82,36.2,13.8,18.2,2.6,,,0.476,,0.605,10.8,0.175
1967-68,NBA,Wilt Chamberlain (V),31,PHI,82,46.8,24.3,23.8,8.6,,,0.595,,0.38,20.4,0.255
1966-67,NBA,Wilt Chamberlain (V),30,PHI,81,45.5,24.1,24.2,7.8,,,0.683,,0.441,21.9,0.285
1965-66,NBA,Wilt Chamberlain (V),29,PHI,79,47.3,33.5,24.6,5.2,,,0.54,,0.513,21.4,0.275
1964-65,NBA,Bill Russell (V),30,BOS,78,44.4,14.1,24.1,5.3,,,0.438,,0.573,16.9,0.234
1963-64,NBA,Oscar Robertson (V),25,CIN,79,45.1,31.4,9.9,11,,,0.483,,0.853,20.6,0.278
1962-63,NBA,Bill Russell (V),28,BOS,78,44.9,16.8,23.6,4.5,,,0.432,,0.555,13.5,0.185
1961-62,NBA,Bill Russell (V),27,BOS,76,45.2,18.9,23.6,4.5,,,0.457,,0.595,15.5,0.217
1960-61,NBA,Bill Russell (V),26,BOS,78,44.3,16.9,23.9,3.4,,,0.426,,0.55,13,0.181
1959-60,NBA,Wilt Chamberlain (V),23,PHW,72,46.4,37.6,27,2.3,,,0.461,,0.582,17,0.245
1958-59,NBA,Bob Pettit (V),26,STL,72,39.9,29.2,16.4,3.1,,,0.438,,0.759,14.8,0.246
1957-58,NBA,Bill Russell (V),23,BOS,69,38.3,16.6,22.7,2.9,,,0.442,,0.519,11.3,0.206
1956-57,NBA,Bob Cousy (V),28,BOS,64,36.9,20.6,4.8,7.5,,,0.378,,0.821,8.8,0.178
1955-56,NBA,Bob Pettit (V),23,STL,72,38.8,25.7,16.2,2.6,,,0.429,,0.736,13.8,0.236
